yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
197306,104.26,3.2200,7.2300,0.7209743078,0.0719,0.0737,0.0813,0.0710,0.0390133985,0.005100,0.0068337130,-0.0021,-0.0056,0.0021646025,0.0007439782,-0.005178,-0.006522
197307,108.22,3.2367,7.3833,0.6939766839,0.0801,0.0745,0.0824,0.0760,0.0373500626,0.006400,0.0022624434,-0.0433,-0.0476,0.0018680136,0.0002390300,0.039128,0.037679
197308,104.25,3.2533,7.5367,0.7243372354,0.0867,0.0768,0.0853,0.0728,0.0373887675,0.007000,0.0180586907,0.0391,0.0356,0.0010958834,0.0002520752,-0.031544,-0.036505
197309,108.43,3.2700,7.6900,0.6788089959,0.0829,0.0763,0.0863,0.0703,0.0343612257,0.006800,0.0022172949,0.0318,0.0356,0.0009345578,-0.0000545824,0.042219,0.041038
197310,108.29,3.3067,7.8467,0.6720817914,0.0722,0.0760,0.0841,0.0689,0.0346603301,0.006500,0.0088495575,0.0215,-0.0066,0.0013447449,-0.0008873582,0.000312,-0.001560
197311,95.96,3.3433,8.0033,0.7818789906,0.0783,0.0767,0.0842,0.0712,0.0387363392,0.005600,0.0065789474,-0.0183,0.0078,0.0043697483,-0.0013245342,-0.107220,-0.113046
197312,97.55,3.3800,8.1600,0.7555884634,0.0745,0.0768,0.0848,0.0726,0.0130073951,0.006400,0.0065359477,-0.0082,-0.0089,0.0053583380,-0.0006401994,0.017971,0.016534
197401,96.57,3.4000,8.2267,0.7514464380,0.0777,0.0783,0.0848,0.0740,0.0116267491,0.006300,0.0086580087,-0.0083,-0.0053,0.0034094717,-0.0009367530,-0.008120,-0.009749
197402,96.22,3.4200,8.2933,0.7470977188,0.0712,0.0785,0.0853,0.0748,0.0109186477,0.005800,0.0128755365,-0.0024,0.0009,0.0018780077,-0.0009573139,0.001992,-0.003695
197403,93.98,3.4400,8.3600,0.8151840129,0.0796,0.0801,0.0862,0.0783,0.0103999361,0.005600,0.0127118644,-0.0292,-0.0307,0.0016936350,-0.0011670985,-0.021818,-0.023154
197404,90.31,3.4600,8.4867,0.8248580819,0.0833,0.0825,0.0887,0.0816,0.0096574913,0.007500,0.0041841004,-0.0253,-0.0341,0.0017291765,-0.0010474939,-0.037649,-0.039359
197405,87.28,3.4800,8.6133,0.8604161213,0.0823,0.0837,0.0905,0.0810,0.0092469234,0.007500,0.0125000000,0.0123,0.0105,0.0020987464,-0.0012379910,-0.026896,-0.033127
197406,86.00,3.5000,8.7400,0.8601587717,0.0790,0.0847,0.0927,0.0812,0.0080281695,0.006000,0.0082304527,0.0045,-0.0285,0.0023003694,-0.0016917665,-0.012816,-0.014583
197407,79.31,3.5300,8.8633,0.9112393224,0.0755,0.0872,0.0948,0.0823,0.0068388852,0.007000,0.0081632653,-0.0029,-0.0211,0.0049175157,-0.0019992526,-0.076698,-0.078500
197408,72.15,3.5600,8.9867,1.0171239942,0.0896,0.0900,0.0977,0.0855,0.0065552244,0.006000,0.0121457490,-0.0232,-0.0268,0.0047910264,-0.0023098100,-0.082177,-0.089737
197409,63.54,3.5900,9.1100,1.1354401435,0.0806,0.0924,0.1018,0.0837,0.0051374792,0.008100,0.0120000000,0.0247,0.0174,0.0078117125,-0.0017001444,-0.117511,-0.119578
197410,73.90,3.5933,9.0367,1.0370837841,0.0746,0.0927,0.1048,0.0795,0.0036384075,0.005100,0.0098814229,0.0489,0.0885,0.0100849480,-0.0018954501,0.168113,0.164814
197411,69.97,3.5967,8.9633,1.1156370220,0.0747,0.0889,0.1060,0.0771,0.0078146012,0.005400,0.0078277886,0.0295,0.0117,0.0035137990,-0.0018215318,-0.045688,-0.053816
197412,68.56,3.6000,8.8900,1.1200181747,0.0715,0.0889,0.1063,0.0760,0.0087715740,0.007000,0.0077669903,0.0171,-0.0075,0.0038144275,-0.0008304879,-0.018021,-0.020305
197501,76.98,3.6233,8.7433,0.9808296267,0.0626,0.0883,0.1081,0.0796,0.0085104486,0.005800,0.0038535645,0.0225,0.0596,0.0040172082,-0.0012299241,0.123610,0.121698
197502,81.59,3.6467,8.5967,0.9339016305,0.0550,0.0862,0.1065,0.0788,0.0116523318,0.004300,0.0076775432,0.0131,0.0137,0.0021790299,-0.0007081241,0.067460,0.059497
197503,83.36,3.6700,8.4500,0.9724663152,0.0549,0.0867,0.1048,0.0824,0.0204669502,0.004100,0.0038095238,-0.0267,-0.0247,0.0024026153,-0.0007042916,0.024014,0.022122
197504,87.30,3.6833,8.2867,0.9094893710,0.0561,0.0895,0.1058,0.0852,0.0224962245,0.004400,0.0037950664,-0.0182,-0.0052,0.0023137776,-0.0006734883,0.049424,0.047293
197505,91.15,3.6967,8.1233,0.8975236997,0.0523,0.0890,0.1069,0.0836,0.0229537717,0.004400,0.0056710775,0.0212,0.0106,0.0018071722,-0.0004098218,0.051193,0.044794
197506,95.19,3.7100,7.9600,0.8498390198,0.0534,0.0877,0.1062,0.0813,0.0229616961,0.004100,0.0075187970,0.0292,0.0304,0.0013533555,-0.0008054238,0.046220,0.044342
197507,88.75,3.7100,7.8933,0.8983656240,0.0613,0.0884,0.1055,0.0829,0.0256278961,0.004800,0.0111940299,-0.0087,-0.0030,0.0012444037,-0.0011820990,-0.065504,-0.067553
